year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,37.9167,0.0,0.0,61.5833,12.4583,0.0,0.0,0.0,161.4583
1951,57.375,0.5833,0.0,72.375,9.7917,0.0,0.0,0.0,173.625
1952,51.6667,0.2917,0.0,67.1667,10.625,0.0,0.0,0.0,175.9583
1953,56.0417,0.0417,0.0,60.9583,8.5833,0.0417,0.0,0.0,169.7083
1954,66.1667,0.875,0.0,96.75,36.0,0.625,0.0,0.25,178.9167
1955,65.8333,0.5833,0.0,93.875,28.2917,0.5833,0.0,0.0417,179.2083
1956,59.7917,2.125,0.0,89.625,26.7917,2.125,0.0,0.0417,178.0833
1957,69.5,1.4583,0.0,108.25,34.4167,0.2917,0.0,0.0417,172.8333
1958,73.9167,1.1667,0.0,119.5833,35.4167,0.0417,0.0,0.0,181.8333
1959,74.125,3.2083,0.0,110.4583,36.2917,1.25,0.0,0.6667,183.375
1960,76.7917,2.25,0.0,115.9583,34.7917,1.7917,0.0,0.0417,188.5833
1961,64.7083,0.5833,0.0,109.6667,23.1667,0.0833,0.0,0.0,175.5833
1962,69.0833,0.9583,0.0,111.9583,27.5,0.0833,0.0,0.0,175.9167
1963,73.6667,0.5,0.0,119.625,32.2917,0.0417,0.0,0.0,188.9583
1964,73.1667,1.7083,0.0,97.7917,25.5417,0.9583,0.0,0.0,173.0
1965,75.3333,1.7083,0.0,106.125,34.2917,0.5,0.0,0.0,185.3333
1966,80.625,4.375,0.0,115.2917,33.75,0.2917,0.0,0.2083,185.25
1967,70.6667,1.5,0.0,105.2083,37.9583,0.375,0.0,0.0,176.2917
1968,66.8333,0.4583,0.0,100.8333,20.6667,0.0,0.0,0.0,169.375
1969,78.5417,0.8333,0.0,118.875,31.9167,0.375,0.0,0.0833,178.4583
1970,63.9583,0.9583,0.0,107.5833,21.75,0.0417,0.0,0.0,166.4583
1971,63.2917,0.5,0.0,103.3333,20.75,0.0,0.0,0.0,164.4167
1972,77.875,3.375,0.0,116.7083,32.4583,0.25,0.0,0.0,173.4167
1973,70.6667,1.7083,0.0,110.1667,24.8333,0.125,0.0,0.0417,174.9167
1974,71.625,0.3333,0.0,113.7083,21.9167,0.125,0.0,0.0,166.7083
1975,59.625,0.1667,0.0,103.5833,18.5,0.1667,0.0,0.0,164.8333
1976,69.3333,3.25,0.0,115.5,23.0417,0.0,0.0,0.0833,177.875
1977,80.875,2.8333,0.0,128.9583,32.4583,0.0417,0.0,0.0,180.2083
1978,65.4167,1.1667,0.0,113.6667,18.25,0.0,0.0,0.0,180.1667
1979,76.3333,2.8333,0.0,114.8333,23.5417,0.4167,0.0,0.0417,178.9583
1980,75.9583,1.4167,0.0,115.6667,36.125,0.0833,0.0,0.0,177.375
1981,72.0833,1.0833,0.0,109.625,30.1667,0.2083,0.0,0.0417,175.4583
1982,75.0,2.875,0.0,113.25,20.7917,0.1667,0.0,0.0,179.9583
1983,58.0,0.5417,0.0,105.9583,15.9167,0.0,0.0,0.0,169.9167
1984,66.0417,1.5833,0.0,110.4167,28.25,0.2083,0.0,0.0833,168.625
1985,69.5417,0.8333,0.0,100.1667,17.1667,0.0417,0.0,0.0,170.0417
1986,72.1667,1.0417,0.0,113.0,20.0833,0.0417,0.0,0.0,176.7917
1987,81.2917,4.1667,0.0,125.125,23.5417,0.0833,0.0,0.1667,181.5833
1988,80.375,0.2917,0.0,116.7083,20.8333,0.0,0.0,0.0,180.75
1989,71.0,1.3333,0.0,115.125,23.6667,0.4167,0.0,0.0,175.0417
1990,67.75,0.5417,0.0,115.2083,14.3333,0.0,0.0,0.0,181.3333
1991,76.75,2.1667,0.0,116.625,23.3333,0.0833,0.0,0.0,174.7083
1992,74.2083,1.6667,0.0,114.3333,24.7083,0.0,0.0,0.0,174.1667
1993,71.7917,1.0417,0.0,119.7083,21.375,0.0,0.0,0.0,176.4167
1994,69.625,0.9167,0.0,119.75,23.7083,0.0,0.0,0.0,177.3333
1995,77.25,2.0,0.0,115.2917,28.0,0.125,0.0,0.0,175.375
1996,75.2083,0.5,0.0,120.0833,24.0,0.0,0.0,0.0,181.3333
1997,71.5417,1.7917,0.0,124.4583,21.9583,0.0,0.0,0.0,177.2917
1998,84.375,4.9583,0.0,124.5833,27.6667,0.1667,0.0,0.375,181.3333
1999,69.25,0.7083,0.0,123.5833,20.0,0.1667,0.0,0.0417,177.75
2000,73.125,1.5417,0.0,119.2083,17.875,0.1667,0.0,0.0,173.9583
2001,66.2917,0.8333,0.0,113.125,18.25,0.0417,0.0,0.0,171.0833
2002,80.25,3.8333,0.0,119.7917,40.25,0.0417,0.0,0.375,174.2083
2003,80.2917,2.125,0.0,121.625,37.4167,0.0,0.0,0.0,180.5833
2004,78.2917,2.9583,0.0,120.5,32.375,0.5833,0.0,0.5,174.4167
2005,75.75,1.5833,0.0,114.6667,34.75,0.375,0.0,0.0,168.0417
2006,82.375,1.9583,0.0,129.3333,34.9167,0.125,0.0,0.0,181.4583
2007,81.125,1.875,0.0,128.625,38.5,0.375,0.0,0.0417,182.2083
2008,76.875,2.1667,0.0,124.9583,35.3333,0.0833,0.0,0.0,175.2917
2009,88.75,2.375,0.0,128.3333,39.0417,0.5833,0.0,0.125,184.125
2010,87.9583,4.6667,0.0,136.2917,36.9583,0.125,0.0,0.125,183.5417
2011,74.6667,1.4167,0.0,125.2917,39.6667,0.0417,0.0,0.0,176.9583
2012,66.9167,0.6667,0.0,118.625,29.3333,0.0833,0.0,0.0,169.125
2013,70.0,1.3333,0.0,123.7083,32.125,0.0833,0.0,0.0,176.125
2014,83.0,5.5,0.0,132.1667,47.7917,0.5,0.0,0.1667,180.4167
2015,84.7083,5.5,0.0,135.5833,40.0833,0.0833,0.0,0.1667,180.7083
2016,77.5417,0.5,0.0,128.4583,38.1667,0.0417,0.0,0.0,176.875
2017,85.2083,2.9167,0.0,130.0417,35.1667,0.1667,0.0,0.25,181.25
2018,85.9583,5.4583,0.0,137.625,44.9167,0.125,0.0,0.2917,182.7917
2019,77.5,2.875,0.0,137.7917,33.5,0.1667,0.0,0.0417,182.8333
2020,86.3333,1.9583,0.0,138.125,36.0833,0.0833,0.0,0.0,186.625
2021,84.2083,3.0,0.0,139.5833,36.4583,0.0417,0.0,0.0833,189.0417
2022,82.9583,2.0417,0.0,133.5417,37.25,0.3333,0.0,0.0833,180.4583
2023,89.0,5.4583,0.0,139.3333,48.75,0.125,0.0,0.0833,184.625
2024,92.0833,6.6667,0.0,139.125,42.8333,0.5833,0.0,1.0,187.375
2025,77.7917,2.125,0.0,139.375,36.8333,0.0833,0.0,0.0,185.5
